unemp,NEER,infl,GDP,int,Date
0.176880963,2.119453999,0.112921667,0.109725705,10.67,1/1/2008
0.178093608,2.267307445,0.115987333,0.08440618,12,4/1/2008
0.179261033,2.322206118,0.110690667,-0.056465406,10.75,7/1/2008
0.180383239,2.436438788,0.062782,-0.009900106,9,10/1/2008
0.168114446,2.437317435,0.027024667,-0.048842434,7.17,1/1/2009
0.174484525,2.402985631,0.021248333,-0.08696307,6,4/1/2009
0.186147697,2.321471303,-0.008415333,-0.014634502,6,7/1/2009
0.203103961,2.293634361,0.029622,-5.94E-05,5.33,10/1/2009
0.252513049,2.284132488,0.047155333,0.027794481,5,1/1/2010
0.269191606,2.246435366,0.044357667,0.076554249,5.42,4/1/2010
0.280299363,2.176581967,0.087847,0.068934706,6.56,7/1/2010
0.285836319,2.203499812,0.104532333,0.070979139,7.5,10/1/2010
0.272543527,2.255541178,0.133145667,0.059546459,7.75,1/1/2011
0.272242462,2.346743311,0.126215,0.058641457,8,4/1/2011
0.271674177,2.428326345,0.067384,0.086220939,7.58,7/1/2011
0.270838672,2.507258192,0.020921333,0.080322264,7,10/1/2011
0.268909001,2.506442913,-0.012623,0.067057139,6.5,1/1/2012
0.267869832,2.571574737,-0.018617333,0.083509417,6,4/1/2012
0.266894221,2.567226397,2.82E-04,0.077450401,5.75,7/1/2012
0.265982166,2.520067274,-0.005941,0.031811021,5.5,10/1/2012
0.27013879,2.505700369,-0.019288,0.023795467,4.62,1/1/2013
0.267351803,2.550962831,-0.005162,0.015540299,4.12,4/1/2013
0.262626324,2.574730453,-0.006197333,0.013638237,3.75,7/1/2013
0.255962355,2.530146825,0.010507333,0.076271316,3.75,10/1/2013
0.238776883,2.532550335,0.032907667,0.072087593,4,1/1/2014
0.231669136,2.573671171,0.026252,0.048651942,4,4/1/2014
0.226056104,2.663161507,0.036594333,0.056362616,4,7/1/2014
0.221937785,2.747026672,0.027191333,0.017248302,4,10/1/2014
0.221707253,2.70443111,0.017425,0.032351194,4.5,1/1/2015
0.219621133,2.54496766,0.034833,0.024747082,5,4/1/2015
0.218072498,2.576377081,0.051477667,0.028603747,6.17,7/1/2015
0.217061347,2.555450031,0.056427333,0.029819014,7.75,10/1/2015
0.21782983,2.693473265,0.050689,0.028960092,8,1/1/2016
0.217396789,2.873444174,0.021244,0.030875363,7.25,4/1/2016
0.217004373,2.774334493,0.008500333,0.026360395,6.62,7/1/2016
0.216652583,2.6928501,0.006114,0.028008398,6.5,10/1/2016
0.219918132,2.668127342,0.049216333,0.052915433,6.75,1/1/2017
0.218216906,2.791932384,0.065882333,0.047703043,7,4/1/2017
0.21512562,2.724021314,0.059517667,0.040319299,7,7/1/2017
0.210644273,2.587566989,0.066866333,0.05282205,7.12,10/1/2017
0.200197032,2.65025037,0.032968,0.051662633,7.25,1/1/2018
0.194765898,2.811314439,0.023847667,0.055963429,7.25,4/1/2018
0.189775038,2.925950568,0.029089,0.037343888,7,7/1/2018
0.185224451,2.787413858,0.018929,0.045379651,7,10/1/2018
0.181114138,2.771362409,0.027295,0.048907865,6.62,1/1/2019
0.177444098,2.73771414,0.043958,0.044616079,6.5,4/1/2019
0.174214331,2.557081782,0.053094333,0.058,7,7/1/2019
0.171424838,2.535688498,0.069689667,0.051,8.75,10/1/2019
0.183,2.603371952,0.063027,0.023,9,1/1/2020
0.183,2.535704654,0.065099667,-0.132,8.38,4/1/2020
0.17,2.552903981,0.047400667,-0.056,8,7/1/2020
0.204,2.46,0.0551,-0.056,8,10/1/2020
0.219,2.383,0.048,-0.041,8,1/1/2021
0.221,2.426,0.05,28.9,9.225274725,4/1/2021
0.195,2.588,0.064,9.1,10,7/1/2021
